brand_index_letter,brand_name,brand_name_ko,ctg_no,brand_index_letter_ko
A,&Tradition,앤트레디션,2305091790,ㅇ
A,A COLD WALL,어콜드월,2212074062,ㅇ
A,A PUNTO B,아푼토비,2405132061,ㅇ
A,A.BOCCA,에이보카,2406134111,ㅇ
A,A.P.C.,아페쎄,2212074449,ㅇ
A,ABMT,에이비엠티,2303083023,ㅇ
A,ABOUT TONE,어바웃톤,2408142017,ㅇ
A,ABU GARCIA,아부 가르시아,2404125823,ㅇ
A,ABUS,아부스,2301077333,ㅇ
A,ACQUA DI PARMA,아쿠아 디 파르마,2206057361,ㅇ
A,ACTG,에스코티지,2206058088,ㅇ
A,ADDIR,아디르,2101027096,ㅇ
A,ADER ERROR,아더에러,2312112442,ㅇ
A,ADIDAS,아디다스,2301076338,ㅇ
A,ADIDAS GOLF,아디다스 골프,2405132098,ㅇ
A,ADIDAS GOLF,아디다스 골프,2402120751,ㅇ
A,ADIDAS Y-3,아디다스 와이쓰리,2301075185,ㅇ
A,ADRIANO GOLDSCHMIED,아드리아노 골드슈미드,2406134127,ㅇ
A,AEER,아에르,1901005399,ㅇ
A,AESTHER EKME,에스더 에크메,2406134103,ㅇ
A,AESTURA,에스트라,2302079339,ㅇ
A,AETERNO,에테르노,2212074065,ㅇ
A,AFTER LABEL,애프터 라벨,2310106356,ㅇ
A,AFTER TENNIS,애프터 테니스,2206058865,ㅇ
A,AGE,에이지,2107035684,ㅇ
A,AGNES.B,아네스베,2302079293,ㅇ
A,AGO,아고,2402117919,ㅇ
A,AGOLDE,에이골디,2301075540,ㅇ
A,AJOBYAJO,아조바이아조,2108037865,ㅇ
A,AKONI,아코니,2405132028,ㅇ
A,AKRIS,아크리스,2401114316,ㅇ
A,AKRO,아크로,2308100401,ㅇ
A,ALABASTER,알라바스터,2307096529,ㅇ
A,ALAIA,알라이아,2212074060,ㅇ
A,ALANUI,알라누이,2305091050,ㅇ
A,ALBERTA FERRETTI,알베르타페레티,2303081020,ㅇ
A,ALCHEMIST,알케미스트,2406134096,ㅇ
A,ALDEN,알든,2301076010,ㅇ
A,ALDO,알도,2408144158,ㅇ
A,ALESSANDRA RICH,알렉산드라리치,2303081019,ㅇ
A,ALESSANDRO VIGILANTE,알레산드로 비질란테,2406134112,ㅇ
A,ALESSI,알레시,2108037846,ㅇ
A,Alexander McQueen,알렉산더맥퀸,2212074061,ㅇ
A,ALEXANDERWANG,알렉산더왕,10000004142,ㅇ
A,ALEXANDRE VAUTHIER,알렉산드레 보티에,2403121485,ㅇ
A,ALICE & OLIVIA,앨리스 앤 올리비아,2405132006,ㅇ
A,ALLEGRI,알레그리,2305091418,ㅇ
A,ALLIE,알리,2302079345,ㅇ
A,ALLSAINTS,올세인츠,1911012189,ㅇ
A,ALOD,알로드,2404125660,ㅇ
A,ALPHA INDUSTRIES,알파인더스트리,2310105992,ㅇ
A,ALPHA INDUSTRIES,알파 인더스트리,2211070800,ㅇ
A,ALPHA STUDIO,알파스튜디오,2405131996,ㅇ
A,ALTAIA,알타이아,2402120512,ㅇ
A,ALTRA,알트라,2301076858,ㅇ
A,ALVIERO MARTINI 1A CLASSE,알비에로 마르티니 클라쎄,2305091066,ㅇ
A,ALYSI,알리지,2405131986,ㅇ
A,ALYX,알릭스,2301075287,ㅇ
A,ambai,암바이,2312112297,ㅇ
A,AMBUSH,앰부시,2301077120,ㅇ
A,AMERICAN NEEDLE,아메리칸 니들,2301075919,ㅇ
A,AMERICAN VINTAGE,아메리칸 빈티지,2406136136,ㅇ
A,AMI PARIS,아미 파리,2212074450,ㅇ
A,AMINA MUADDI,아미나 무아디,2403121333,ㅇ
A,AMIRI,아미리,2301077328,ㅇ
A,AMISH,아미시,2401114304,ㅇ
A,AMONG THEM,어몽뎀,2207061029,ㅇ
A,AMPLE:N,앰플엔,2302079367,ㅇ
A,AMT,에이엠티,2210068320,ㅇ
A,ANARK,아나크,2302079292,ㅇ
A,ANDALOU,안달로우,2302078638,ㅇ
A,ANDAMANE,안다마네,2403121334,ㅇ
A,ANDANTTE,안단테,2402120026,ㅇ
A,ANDERSEN-ANDERSEN,안데르센 안데르센,2304088672,ㅇ
A,ANDREA ADAMO,안드레아 아다모,2401114290,ㅇ
A,ANEPIGRAPHE,아네피그라프,2010023510,ㅇ
A,ANESSA,아넷사,2304085620,ㅇ
A,ANIA HAIE,아니아하이에,2212074804,ㅇ
A,ANILLO,아닐로,2302079381,ㅇ
A,ANINE BING,애니빙,2405131990,ㅇ
A,ANITA BILARDI,아니타 빌라디,2305090989,ㅇ
A,ANN DEMEULEMEESTER,앤 드뮐미스터,2305091065,ㅇ
A,ANNA SUI,안나수이,2404125085,ㅇ
A,ANNA SUI EYEWEAR,안나수이,2301076745,ㅇ
A,ANTOMARS,앤투마스,2202049847,ㅇ
A,ANUA,아누아,2302079353,ㅇ
A,AQUAZZURA,아쿠아주라,2305090985,ㅇ
A,ARCHIES,아치스,2407138200,ㅇ
A,ARCHIVIO B,아키비오 비,2403121299,ㅇ
A,ARCTERYX,아크테릭스,2007019669,ㅇ
A,ARENA,아레나,2303084013,ㅇ
A,ARENCIA,아렌시아,2301075568,ㅇ
A,ARIANA GRANDE FRAGRANCES,아리아나 그란데,2308098321,ㅇ
A,ARMANI EXCHANGE,아르마니 익스체인지,10000003424,ㅇ
A,ARTEK,아르텍,2107036438,ㅇ
A,ARTEMIDE,아르떼미데,2302078453,ㅇ
A,ARTISAN&ARTIST,아티산&아티스트,2302079928,ㅇ
A,ARTISH,아티쉬,2406136953,ㅇ
A,ARTN EDITION,아트앤에디션,2203051062,ㅇ
A,ARWE,아르베,2405131699,ㅇ
A,ASH,아쉬,2301076004,ㅇ
A,ASHER GOLF,아셀골프 ACC,2206058110,ㅇ
A,ASICS,아식스,2301077259,ㅇ
A,ASPESI,아스페시,2302078621,ㅇ
A,ASTORFLEX,아스토플렉스,2303081017,ㅇ
A,ASUS,에이수스,2305091226,ㅇ
A,ATELIER PAULIN,아뜰리에 폴린,2305091695,ㅇ
A,ATELIER QUINCE,아틀리에퀸스,2207060917,ㅇ
A,ATHPLATFORM,애스플래폼,2004016404,ㅇ
A,ATOMO FACTORY,아토모 팩토리,2406134082,ㅇ
A,AURALEE,오라리,2301075289,ㅇ
A,AURUT,아우릇,2202049083,ㅇ
A,AUSTIN AUSTIN,오스틴오스틴,2404128694,ㅇ
A,AUTRY,오트리,2405131942,ㅇ
A,AVEDA,아베다,2207061190,ㅇ
A,AVEN,에이븐,2207060559,ㅇ
A,AVOCADO,아보카도,1909010558,ㅇ
A,AVOLT,아볼트,2301076402,ㅇ
A,AVVES GOLF,아베스골프,2206057716,ㅇ
A,AWAKE NY,어웨이크 NY,2405132008,ㅇ
A,AWESOMEBIKE,어썸바이크,2305089156,ㅇ
A,AXEL ARIGATO,악셀아리가토,2212074059,ㅇ
A,Azfit,아즈피트,2312112296,ㅇ
B,BA&SH,바쉬,2406134090,ㅂ
B,BABOR,바버,2309102675,ㅂ
B,BACCARAT,바카랏,2307095538,ㅂ
B,BADBLUE,배드블루,2201046151,ㅂ
B,BALENCIAGA,발렌시아가,2212074465,ㅂ
B,BALENCIAGA KIDS,발렌시아가 키즈,2211072199,ㅂ
B,BALLANTYNE,발란타인,2305090422,ㅂ
B,BALLARINI,발라리니,2207060700,ㅂ
B,BALLY,발리,2212074187,ㅂ
B,BALMAIN,발망,2301075858,ㅂ
B,BALMAIN HAIR,발망 헤어,2303084293,ㅂ
B,BALMAIN KIDS,발망 키즈,2301075786,ㅂ
B,BALMUDA,발뮤다,2301075494,ㅂ
B,BANG & OLUFSEN,뱅앤울룹슨,2004016290,ㅂ
B,BAO BAO ISSEY MIYAKE,바오바오 이세이 미야케,2301076002,ㅂ
B,BAOBAB COLLECTION,바오밥컬렉션,2404128705,ㅂ
B,BARACUTA,바라쿠타,2212074181,ㅂ
B,BARBA,바르바,2305091042,ㅂ
B,BARBOUR,바버,2308098787,ㅂ
B,BAREBONES,베어본즈,2306093821,ㅂ
B,BAREDO,바레도,2309102678,ㅂ
B,BARELOU,베어루,2310104457,ㅂ
B,BARNEYS NEW YORK,바니스 뉴욕 패션,2301075864,ㅂ
B,BARROW,바로우,2403123134,ㅂ
B,BARTON PERREIRA,바본페레이라,2406134075,ㅂ
B,BASERANGE,베이스레인지,2312111771,ㅂ
B,BASIL BANGS,바질뱅스,2106034458,ㅂ
B,BASTONG,바스통,1904007042,ㅂ
B,BATH & BODY WORKS,배스 앤 바디웍스,2404128349,ㅂ
B,BAUM UND PFERDGARTEN,바움 운드 페르드가르텐,2301075272,ㅂ
B,BBIA,삐아,2302079360,ㅃ
B,BEANA,비아나,2403123758,ㅂ
B,BEANPOLE GOLF,빈폴골프,2306093783,ㅂ
B,BEARBRICK,베어브릭,2305089547,ㅂ
B,BEAUTY BLENDER,뷰티 블렌더,2306093508,ㅂ
B,BEAUTYMED,뷰티메드,2406134137,ㅂ
B,BELIF,빌리프,2407137771,ㅂ
B,BELSTAFF,벨스타프,2212074191,ㅂ
B,BELVEDERE,벨베데레,1904007249,ㅂ
B,BEMUSE MANSION,비뮤즈맨션,2101027584,ㅂ
B,BEN NEVIS,벤네비스,2301077252,ㅂ
B,BEN SHERMAN,벤셔먼,2404127726,ㅂ
B,BEN TAVERNITI UNRAVEL,벤 타베르니티 언라벨,2405132454,ㅂ
B,BENCH,벤치,2303083043,ㅂ
B,BENEDETTA BRUZZICHES,베네데따부르치케스,2403121335,ㅂ
B,BENEFIT,베네피트,2206057354,ㅂ
B,BENSIMON,벤시몽,2301075981,ㅂ
B,BERG&RIDGE,베르그앤릿지,2301077358,ㅂ
B,BERLUTI,벨루티,2212074190,ㅂ
B,BERMUDA GRASS,버뮤다 그래스,2205055099,ㅂ
B,BETTER THAN SURF,배러댄서프,2206058339,ㅂ
B,BETTERS,베럴즈,2006019117,ㅂ
B,BETTINA VERMILLON,베티나 버밀론,2403121298,ㅂ
B,BGZT LAB,브그즈트랩,2302080611,ㅂ
B,BIARRITZ 1961,비아리츠 1961,2403121401,ㅂ
B,BIG AGNES,빅 아그네스,2204053502,ㅂ
B,BIGWAVE COLLECTIVE,빅웨이브 콜렉티브,2108037879,ㅂ
B,BILLABONG,빌라봉,2301076089,ㅂ
B,BILLIEBLUSH,빌리블러쉬,2403121338,ㅂ
B,BIODERMA,바이오더마,2211071723,ㅂ
B,BIOGAIA,바이오가이아,2301075635,ㅂ
B,BIOTHERM,비오템,2206057355,ㅂ
B,BIOTHERM HOMME,비오템,2206057356,ㅂ
B,BIRGITTE HERSKIND,비르기테 허스카인드,2406134118,ㅂ
B,BIRKENSTOCK,버켄스탁,10000003445,ㅂ
B,BLABLAKIA,블라블라키아,2407141319,ㅂ
B,BLAFRE,블라프레,2301077298,ㅂ
B,BLAKSHAVE,블락쉐이브,2206058403,ㅂ
B,BLANCA VITA,블랑카 비타,2405132052,ㅂ
B,BLAUER,블라우어,2405131988,ㅂ
B,BLENDTEC,블렌텍,2301077291,ㅂ
B,BLIPERS,블리퍼스,2405130916,ㅂ
B,BLOODLINE GOLF,블러드라인 골프,2206058886,ㅂ
B,BLUE BOTTLE COFFEE,블루보틀커피,2306093777,ㅂ
B,BLUE DIAMOND,블루다이아몬드,2312113722,ㅂ
B,BLUE JAINER CLUB,블루 제이너 클럽,2206058402,ㅂ
B,BLUE TEES GOLF,블루티스 골프,2407140845,ㅂ
B,BLUMARINE,블루마린,2305090930,ㅂ
B,BLUNDSTONE,블런드스톤,2301076011,ㅂ
B,BMUET(TE),비뮈에트,2202048325,ㅂ
B,BNBGOLD,비앤비골드,2303084201,ㅂ
B,BOBBI BROWN,바비브라운,2207061185,ㅂ
B,BOBO CHOSES,보보 쇼즈,2212074192,ㅂ
B,BODY FANTASIES,바디판타지,2301075886,ㅂ
B,BOGNER,보그너,2307095161,ㅂ
B,BOLON,볼론,2301076751,ㅂ
B,BOMANN,보만,2301075279,ㅂ
B,BONJOUR,봉주르,2312111561,ㅂ
B,BONPOINT,봉쁘앙,2011025278,ㅂ
B,BONSAI,본사이,2401114323,ㅂ
B,BONTON,봉통,2302077800,ㅂ
B,BOONTHESHOP,분더샵,2011025501,ㅂ
B,BORBONESE,보르보네제,2405132014,ㅂ
B,BORIS BIDJAN SABERI,보리스 비드얀 사베리,2405132041,ㅂ
